Category,Cohort Year,Cohort,# Total Cohort,# Grads,% Grads,# Total Regents,% Total Regents of Cohort,% Total Regents of Grads,# Advanced Regents,% Advanced Regents of Cohort,% Advanced Regents of Grads,# Regents without Advanced,% Regents without Advanced of Cohort,% Regents without Advanced of Grads,# Local,% Local of Cohort,% Local of Grads,# Still Enrolled,% Still Enrolled,# Dropout,% Dropout,# SACC (IEP Diploma),% SACC (IEP Diploma) of Cohort,# TASC (GED),% TASC (GED) of Cohort
Asian,2015,4 year August,12905,11383,88.2,11087,85.9,97.4,6261,48.5,55.0,4826,37.4,42.4,296,2.3,2.6,906,7.0,530,4.1,29,0.2,56,0.4
Asian,2014,4 year August,13123,11567,88.1,11293,86.1,97.6,6572,50.1,56.8,4721,36.0,40.8,274,2.1,2.4,1002,7.6,488,3.7,32,0.2,34,0.3
Asian,2013,4 year August,12480,10926,87.5,10724,85.9,98.2,6147,49.3,56.3,4577,36.7,41.9,202,1.6,1.8,992,7.9,501,4.0,24,0.2,34,0.3
Asian,2012,4 year August,12480,10707,85.8,10525,84.3,98.3,5871,47.0,54.8,4654,37.3,43.5,182,1.5,1.7,1123,9.0,576,4.6,38,0.3,30,0.2
Asian,2011,4 year August,12834,10910,85.0,10774,83.9,98.8,6042,47.1,55.4,4732,36.9,43.4,136,1.1,1.2,1275,9.9,589,4.6,36,0.3,22,0.2
Asian,2010,4 year August,12967,10706,82.6,10559,81.4,98.6,5927,45.7,55.4,4632,35.7,43.3,147,1.1,1.4,1428,11.0,756,5.8,46,0.4,26,0.2
Asian,2009,4 year August,13126,10648,81.1,10505,80.0,98.7,5923,45.1,55.6,4582,34.9,43.0,143,1.1,1.3,1552,11.8,832,6.3,52,0.4,39,0.3
Asian,2008,4 year August,12514,10272,82.1,10132,81.0,98.6,5720,45.7,55.7,4412,35.3,43.0,140,1.1,1.4,1453,11.6,698,5.6,51,0.4,37,0.3
Asian,2007,4 year August,11967,9925,82.9,9324,77.9,93.9,5439,45.4,54.8,3885,32.5,39.1,601,5.0,6.1,1218,10.2,711,5.9,41,0.3,68,0.6
Asian,2006,4 year August,11368,9364,82.4,8603,75.7,91.9,5146,45.3,55.0,3457,30.4,36.9,761,6.7,8.1,1163,10.2,706,6.2,43,0.4,90,0.8
Asian,2005,4 year August,11075,8876,80.1,7867,71.0,88.6,4903,44.3,55.2,2964,26.8,33.4,1009,9.1,11.4,1346,12.2,656,5.9,47,0.4,150,1.4
Asian,2004,4 year August,10897,8455,77.6,7414,68.0,87.7,,,,,,,1043,9.6,12.3,1566,14.4,808,7.4,,,,
Asian,2015,4 year June,12905,11031,85.5,10781,83.5,97.7,6214,48.2,56.3,4567,35.4,41.4,250,1.9,2.3,1256,9.7,532,4.1,29,0.2,56,0.4
Asian,2014,4 year June,13123,11208,85.4,10981,83.7,98.0,6522,49.7,58.2,4459,34.0,39.8,227,1.7,2.0,1361,10.4,488,3.7,32,0.2,34,0.3
Asian,2013,4 year June,12480,10607,85.0,10432,83.6,98.4,6106,48.9,57.6,4326,34.7,40.8,175,1.4,1.6,1310,10.5,501,4.0,24,0.2,34,0.3
Asian,2012,4 year June,12480,10424,83.5,10270,82.3,98.5,5837,46.8,56.0,4433,35.5,42.5,154,1.2,1.5,1405,11.3,576,4.6,39,0.3,30,0.2
Asian,2011,4 year June,12834,10583,82.5,10466,81.5,98.9,5997,46.7,56.7,4469,34.8,42.2,117,0.9,1.1,1602,12.5,589,4.6,36,0.3,22,0.2
Asian,2010,4 year June,12967,10300,79.4,10179,78.5,98.8,5866,45.2,57.0,4313,33.3,41.9,121,0.9,1.2,1834,14.1,756,5.8,46,0.4,26,0.2
Asian,2009,4 year June,13126,10160,77.4,10039,76.5,98.8,5849,44.6,57.6,4190,31.9,41.2,121,0.9,1.2,2034,15.5,835,6.4,55,0.4,39,0.3
Asian,2008,4 year June,12514,9900,79.1,9774,78.1,98.7,5685,45.4,57.4,4089,32.7,41.3,126,1.0,1.3,1821,14.6,700,5.6,53,0.4,37,0.3
Asian,2007,4 year June,11967,9494,79.3,9006,75.3,94.9,5384,45.0,56.7,3622,30.3,38.2,488,4.1,5.1,1642,13.7,716,6.0,45,0.4,67,0.6
Asian,2006,4 year June,11368,8969,78.9,8337,73.3,93.0,5083,44.7,56.7,3254,28.6,36.3,632,5.6,7.0,1554,13.7,710,6.2,43,0.4,90,0.8
Asian,2005,4 year June,11075,8511,76.8,7640,69.0,89.8,4850,43.8,57.0,2790,25.2,32.8,871,7.9,10.2,1711,15.4,656,5.9,47,0.4,150,1.4
Asian,2004,4 year June,10897,8075,74.1,7188,66.0,89.0,4729,43.4,58.6,2459,22.6,30.5,887,8.1,11.0,1946,17.9,808,7.4,56,0.5,11,0.1
Asian,2003,4 year June,10403,7467,71.8,6568,63.1,88.0,4274,41.1,57.2,2294,22.1,30.7,899,8.6,12.0,1867,17.9,999,9.6,33,0.3,26,0.2
Asian,2002,4 year June,10554,7082,67.1,6062,57.4,85.6,3601,34.1,50.8,2461,23.3,34.8,1025,9.7,14.5,2014,19.1,1257,11.9,36,0.3,90,0.9
Asian,2001,4 year June,9807,6501,66.3,5261,53.6,80.9,3277,33.4,50.4,1984,20.2,30.5,1245,12.7,19.2,1934,19.7,1281,13.1,69,0.7,17,0.2
Asian,2014,5 year August,13087,11883,90.8,11545,88.2,97.2,6596,50.4,55.5,4949,37.8,41.6,338,2.6,2.8,308,2.4,765,5.8,77,0.6,54,0.4
Asian,2013,5 year August,12446,11142,89.5,10897,87.6,97.8,6094,49.0,54.7,4803,38.6,43.1,245,2.0,2.2,420,3.4,684,5.5,151,1.2,47,0.4
Asian,2012,5 year August,12441,11064,88.9,10840,87.1,98.0,5884,47.3,53.2,4956,39.8,44.8,224,1.8,2.0,464,3.7,772,6.2,101,0.8,37,0.3
Asian,2011,5 year August,12811,11312,88.3,11129,86.9,98.4,6056,47.3,53.5,5073,39.6,44.8,183,1.4,1.6,478,3.7,893,7.0,93,0.7,32,0.2
Asian,2010,5 year August,12904,11159,86.5,10961,84.9,98.2,5957,46.2,53.4,5004,38.8,44.8,198,1.5,1.8,578,4.5,1043,8.1,84,0.7,36,0.3
Asian,2009,5 year August,13105,11134,85.0,10956,83.6,98.4,5958,45.5,53.5,4998,38.1,44.9,178,1.4,1.6,644,4.9,1203,9.2,71,0.5,48,0.4
Asian,2008,5 year August,12480,10726,85.9,10560,84.6,98.5,5759,46.1,53.7,4801,38.5,44.8,166,1.3,1.5,600,4.8,982,7.9,117,0.9,50,0.4
Asian,2007,5 year August,11880,10297,86.7,9536,80.3,92.6,5435,45.7,52.8,4101,34.5,39.8,761,6.4,7.4,342,2.9,1064,9.0,96,0.8,75,0.6
Asian,2006,5 year August,11445,9851,86.1,8921,77.9,90.6,5188,45.3,52.7,3733,32.6,37.9,930,8.1,9.4,390,3.4,1001,8.7,109,1.0,92,0.8
