County Name,Reporting Category,"One-Year 
Graduate Count",RACE/ETHNICITY
Los Angeles,RA,17229,Asian
Los Angeles,RB,12302,African American
Los Angeles,RD,2982,Not Reported
Los Angeles,RF,5197,Filipino
Los Angeles,RH,82928,Hispanic or Latino
Los Angeles,RI,888,American Indian or Alaska Native
Los Angeles,RP,1218,Pacific Islander
Los Angeles,RT,3810,Two or More Races
Los Angeles,RW,25230,White
San Diego,RA,4572,Asian
San Diego,RB,3428,African American
San Diego,RD,288,Not Reported
San Diego,RF,3396,Filipino
San Diego,RH,21236,Hispanic or Latino
San Diego,RI,531,American Indian or Alaska Native
San Diego,RP,564,Pacific Islander
San Diego,RT,3540,Two or More Races
San Diego,RW,15651,White
