,Name,Full_Code,Unified_Secondary,BLKTot,INDTot,ASNTot,HIPTot,OTHTot,BIRTot,WHTTot,LATTot,BLKMil,INDMil,ASNMil,HIPMil,OTHMil,BIRMil,WHTMil,LATMil,BLKCiv,INDCiv,ASNCiv,HIPCiv,OTHCiv,BIRCiv,WHTCiv,LATCiv,BLKCivLbr,INDCivLbr,ASNCivLbr,HIPCivLbr,OTHCivLbr,BIRCivLbr,WHTCivLbr,LATCivLbr,BLKCivLbrRate,INDCivLbrRate,ASNCivLbrRate,HIPCivLbrRate,OTHCivLbrRate,BIRCivLbrRate,WHTCivLbrRate,LATCivLbrRate,BLKTotNonLbr,INDTotNonLbr,ASNTotNonLbr,HIPTotNonLbr,OTHTotNonLbr,BIRTotNonLbr,WHTTotNonLbr,LATTotNonLbr,BLKTotNonLbrRate,INDTotNonLbrRate,ASNTotNonLbrRate,HIPTotNonLbrRate,OTHTotNonLbrRate,BIRTotNonLbrRate,WHTTotNonLbrRate,LATTotNonLbrRate,BLKTotEmply,INDTotEmply,ASNTotEmply,HIPTotEmply,OTHTotEmply,BIRTotEmply,WHTTotEmply,LATTotEmply,BLKTotUnEmply,INDTotUnEmply,ASNTotUnEmply,HIPTotUnEmply,OTHTotUnEmply,BIRTotUnEmply,WHTTotUnEmply,LATTotUnEmply,BLKEmplyRate,INDEmplyRate,ASNEmplyRate,HIPEmplyRate,OTHEmplyRate,BIREmplyRate,WHTEmplyRate,LATEmplyRate,BLKUnEmplyRate,INDUnEmplyRate,ASNUnEmplyRate,HIPUnEmplyRate,OTHUnEmplyRate,BIRUnEmplyRate,WHTUnEmplyRate,LATUnEmplyRate
0,Paradise Valley Unified District,9700000US0405930,U,0,0,0,0,0,0,6187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6187,0,0,0,0,0,0,0,2788,0,,,,,,,0.45062227250686926,,0,0,0,0,0,0,3399,0,,,,,,,0.5493777274931307,,0,0,0,0,0,0,2439,0,0,0,0,0,0,0,349,0,,,,,,,0.8748206599713056,,,,,,,,0.1251793400286944,
1,Scottsdale Unified District,9700000US0407570,U,0,0,0,0,0,0,7924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7924,0,0,0,0,0,0,0,3341,0,,,,,,,0.4216304896516911,,0,0,0,0,0,0,4583,0,,,,,,,0.578369510348309,,0,0,0,0,0,0,3244,0,0,0,0,0,0,0,97,0,,,,,,,0.9709667764142472,,,,,,,,0.02903322358575277,
2,Deer Valley Unified District,9700000US0407750,U,0,0,0,0,0,0,8524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8524,0,0,0,0,0,0,0,4447,0,,,,,,,0.5217034256217739,,0,0,0,0,0,0,4077,0,,,,,,,0.4782965743782262,,0,0,0,0,0,0,3598,0,0,0,0,0,0,0,849,0,,,,,,,0.8090847762536542,,,,,,,,0.19091522374634584,
3,Los Angeles Unified School District,9700000US0622710,U,18948,0,19974,0,63437,12111,32970,154165,0,0,36,0,0,0,0,207,18948,0,19938,0,63437,12111,32970,153958,5918,0,4646,0,17720,3521,7946,41596,0.31232847793962426,,0.2330223693449694,,0.27933225089458835,0.2907274378664024,0.24100697603882318,0.27017758089868665,13030,0,15292,0,45717,8590,25024,112362,0.6876715220603757,,0.7669776306550306,,0.7206677491054116,0.7092725621335976,0.7589930239611768,0.7298224191013133,3751,0,3744,0,12729,2813,6022,31818,2167,0,902,0,4991,708,1924,9778,0.6338289962825279,,0.8058544984933276,,0.7183408577878104,0.7989207611474013,0.7578655927510697,0.7649293201269353,0.36617100371747213,,0.1941455015066724,,0.28165914221218963,0.2010792388525987,0.2421344072489303,0.2350706798730647
4,San Diego City Unified School District,9700000US0634320,U,5009,0,8885,0,3589,3540,17181,19575,192,0,111,0,330,65,1268,1657,4817,0,8774,0,3259,3475,15913,17918,1254,0,2606,0,956,754,3942,4300,0.26032800498235414,,0.29701390471848643,,0.29334151580239337,0.21697841726618705,0.2477219883114435,0.2399821408639357,3563,0,6168,0,2303,2721,11971,13618,0.7396719950176458,,0.7029860952815136,,0.7066584841976066,0.783021582733813,0.7522780116885566,0.7600178591360643,680,0,1604,0,843,640,3451,3472,574,0,1002,0,113,114,491,828,0.5422647527910686,,0.6155026861089793,,0.8817991631799164,0.8488063660477454,0.8754439370877727,0.8074418604651162,0.45773524720893144,,0.3844973138910207,,0.11820083682008369,0.15119363395225463,0.12455606291222729,0.1925581395348837
5,San Jose Unified School District,9700000US0634590,U,0,0,2335,0,0,0,3410,7078,0,0,0,0,0,0,0,0,0,0,2335,0,0,0,3410,7078,0,0,910,0,0,0,1075,2450,,,0.3897216274089936,,,,0.3152492668621701,0.3461429782424414,0,0,1425,0,0,0,2335,4628,,,0.6102783725910065,,,,0.6847507331378299,0.6538570217575587,0,0,797,0,0,0,1034,1894,0,0,113,0,0,0,41,556,,,0.8758241758241758,,,,0.9618604651162791,0.773061224489796,,,0.12417582417582418,,,,0.03813953488372093,0.22693877551020408
6,Chicago Public School District,9700000US1709930,U,40226,0,7546,0,14646,4089,26853,45725,0,0,0,0,0,0,12,0,40226,0,7546,0,14646,4089,26841,45725,9256,0,1333,0,4935,1761,7690,15259,0.2300999353651867,,0.1766498807315134,,0.3369520688242524,0.43066764490095377,0.2865019932193286,0.33371241115363587,30970,0,6213,0,9711,2328,19151,30466,0.7699000646348133,,0.8233501192684867,,0.6630479311757477,0.5693323550990462,0.7134980067806713,0.6662875888463642,4958,0,1283,0,4219,846,6159,12156,4298,0,50,0,716,915,1531,3103,0.5356525496974935,,0.9624906226556639,,0.8549138804457953,0.4804088586030664,0.8009102730819245,0.7966446031850055,0.46434745030250646,,0.037509377344336084,,0.14508611955420467,0.5195911413969335,0.19908972691807542,0.20335539681499443
7,New York City Department of Education,9700000US3620580,U,100551,0,44469,0,67058,15976,86063,127381,0,0,29,0,40,0,83,40,100551,0,44440,0,67018,15976,85980,127341,20681,0,8299,0,14426,3643,17805,27552,0.2056767212658253,,0.18674617461746174,,0.21525560297233579,0.2280295443164747,0.20708304256803908,0.21636393620279407,79870,0,36141,0,52592,12333,68175,99789,0.7943232787341747,,0.8132538253825382,,0.7847443970276642,0.7719704556835253,0.7929169574319609,0.783636063797206,13530,0,6847,0,9403,2438,14572,18615,7151,0,1452,0,5023,1205,3233,8937,0.6542236835742953,,0.8250391613447403,,0.6518092333287121,0.6692286576996981,0.8184217916315641,0.6756315331010453,0.3457763164257048,,0.17496083865525966,,0.34819076667128795,0.330771342300302,0.18157820836843583,0.3243684668989547
8,Philadelphia City School District,9700000US4218990,U,32612,0,6748,0,7534,0,21388,15010,0,0,0,0,0,0,0,0,32612,0,6748,0,7534,0,21388,15010,10897,0,1658,0,2090,0,6754,4337,0.3341408070648841,,0.24570243034973324,,0.2774090788425803,,0.31578455208528144,0.2889407061958694,21715,0,5090,0,5444,0,14634,10673,0.6658591929351159,,0.7542975696502667,,0.7225909211574197,,0.6842154479147186,0.7110592938041306,7250,0,1520,0,1417,0,6295,2886,3647,0,138,0,673,0,459,1451,0.6653207304762778,,0.916767189384801,,0.6779904306220096,,0.932040272431152,0.6654369379755591,0.3346792695237221,,0.08323281061519903,,0.3220095693779904,,0.06795972756884809,0.33456306202444086
9,Dallas Independent School District,9700000US4816230,U,11881,0,0,0,3414,0,8195,34085,0,0,0,0,0,0,0,0,11881,0,0,0,3414,0,8195,34085,3207,0,0,0,1067,0,3244,11768,0.26992677384058583,,,,0.31253661394258936,,0.39585112873703476,0.34525451078186886,8674,0,0,0,2347,0,4951,22317,0.7300732261594142,,,,0.6874633860574106,,0.6041488712629652,0.6547454892181311,2596,0,0,0,978,0,2731,10205,611,0,0,0,89,0,513,1563,0.8094792641097599,,,,0.9165885660731021,,0.841861898890259,0.8671821889870837,0.1905207358902401,,,,0.08341143392689784,,0.15813810110974105,0.13281781101291637
