Campus number,Campus name,District number,District name,County,County Name,Region number,Region name ,All students graduation rate,African American %,Asian %,Hispanic %,Other %,American Indian %,Pacific Islander %,White %
101912001,Austin H S,101912,Houston ISD,101,Harris County,04,Houston,87.0,85.0,100.0,86.9,100.0,100.0,.,100.0
101912002,Bellaire H S,101912,Houston ISD,101,Harris County,04,Houston,90.8,94.3,94.6,85.7,100.0,100.0,100.0,94.6
101912003,Northside H S,101912,Houston ISD,101,Harris County,04,Houston,79.9,78.4,100.0,80.6,.,.,.,50.0
101912004,Furr H S,101912,Houston ISD,101,Harris County,04,Houston,91.2,93.8,100.0,90.9,.,.,.,80.0
101912006,Jones Futures Academy,101912,Houston ISD,101,Harris County,04,Houston,83.3,75.0,.,87.5,.,.,.,.
101912007,Kashmere H S,101912,Houston ISD,101,Harris County,04,Houston,67.7,71.3,.,56.4,100.0,.,100.0,100.0
101912008,Lamar H S,101912,Houston ISD,101,Harris County,04,Houston,94.0,92.6,100.0,93.1,81.8,100.0,100.0,96.2
101912009,Wisdom H S,101912,Houston ISD,101,Harris County,04,Houston,72.5,69.6,61.5,73.9,0.0,100.0,100.0,60.0
101912010,Madison H S,101912,Houston ISD,101,Harris County,04,Houston,71.8,79.0,100.0,68.1,0.0,33.3,.,0.0
101912011,Milby H S,101912,Houston ISD,101,Harris County,04,Houston,82.5,96.7,100.0,81.3,.,.,.,100.0
101912012,Heights H S,101912,Houston ISD,101,Harris County,04,Houston,97.6,93.1,100.0,98.6,100.0,100.0,.,93.1
101912013,Community Services-Sec,101912,Houston ISD,101,Harris County,04,Houston,0.0,.,.,0.0,.,0.0,.,0.0
101912014,Sterling H S,101912,Houston ISD,101,Harris County,04,Houston,76.9,80.1,0.0,72.5,.,0.0,.,66.7
101912015,Waltrip H S,101912,Houston ISD,101,Harris County,04,Houston,78.7,79.7,.,79.2,50.0,0.0,100.0,75.0
101912016,Washington B T H S,101912,Houston ISD,101,Harris County,04,Houston,74.6,83.5,100.0,60.0,100.0,100.0,.,100.0
101912017,Westbury H S,101912,Houston ISD,101,Harris County,04,Houston,84.8,88.1,75.0,84.6,100.0,100.0,0.0,54.5
101912018,Wheatley H S,101912,Houston ISD,101,Harris County,04,Houston,70.1,80.9,.,59.0,.,0.0,0.0,.
101912019,Worthing H S,101912,Houston ISD,101,Harris County,04,Houston,59.0,60.1,50.0,50.0,100.0,.,.,50.0
101912020,Yates H S,101912,Houston ISD,101,Harris County,04,Houston,73.0,72.7,.,73.7,100.0,.,.,100.0
101912023,Sharpstown H S,101912,Houston ISD,101,Harris County,04,Houston,75.9,79.5,60.0,75.7,0.0,.,.,80.0
101912024,Scarborough H S,101912,Houston ISD,101,Harris County,04,Houston,90.5,96.6,100.0,90.2,.,.,0.0,66.7
101912025,Perfor & Vis Arts H S,101912,Houston ISD,101,Harris County,04,Houston,100.0,100.0,100.0,100.0,100.0,100.0,.,100.0
101912026,Debakey H S For Health Prof,101912,Houston ISD,101,Harris County,04,Houston,100.0,100.0,100.0,100.0,.,.,100.0,100.0
101912027,Chavez H S,101912,Houston ISD,101,Harris County,04,Houston,79.0,69.2,100.0,79.6,100.0,.,0.0,81.8
101912033,Jordan H S,101912,Houston ISD,101,Harris County,04,Houston,97.6,98.6,.,96.7,.,100.0,.,100.0
101912034,H S For Law And Justice,101912,Houston ISD,101,Harris County,04,Houston,98.8,100.0,100.0,98.5,.,.,.,100.0
101912036,Westside H S,101912,Houston ISD,101,Harris County,04,Houston,94.3,93.0,92.0,94.9,100.0,100.0,66.7,96.0
101912039,T H Rogers School,101912,Houston ISD,101,Harris County,04,Houston,0.0,0.0,.,.,.,.,.,.
101912081,Sharpstown International School,101912,Houston ISD,101,Harris County,04,Houston,98.4,100.0,100.0,98.0,100.0,.,.,100.0
101912100,Texas Connections Academy At Houst,101912,Houston ISD,101,Harris County,04,Houston,48.4,38.5,62.5,36.9,57.1,37.5,100.0,54.7
101912301,Eastwood Academy,101912,Houston ISD,101,Harris County,04,Houston,100.0,100.0,100.0,100.0,.,.,.,100.0
101912308,North Houston Early College H S,101912,Houston ISD,101,Harris County,04,Houston,100.0,100.0,100.0,100.0,.,.,.,.
101912310,Houston Math Science And Technolog,101912,Houston ISD,101,Harris County,04,Houston,87.3,77.1,100.0,88.3,100.0,.,.,80.0
101912311,Mount Carmel Academy,101912,Houston ISD,101,Harris County,04,Houston,98.7,88.9,100.0,100.0,100.0,.,100.0,100.0
101912321,Energized For Stem Academy Central,101912,Houston ISD,101,Harris County,04,Houston,100.0,100.0,.,100.0,.,.,.,.
101912322,Carnegie Vanguard H S,101912,Houston ISD,101,Harris County,04,Houston,100.0,100.0,100.0,100.0,100.0,.,.,100.0
101912323,Challenge Early College H S,101912,Houston ISD,101,Harris County,04,Houston,99.1,100.0,100.0,98.8,100.0,.,.,100.0
101912324,Liberty H S,101912,Houston ISD,101,Harris County,04,Houston,1.9,0.0,0.0,1.4,.,0.0,.,16.7
101912345,East Early College H S,101912,Houston ISD,101,Harris County,04,Houston,99.0,.,100.0,99.0,.,.,.,100.0
101912348,Houston Academy For International,101912,Houston ISD,101,Harris County,04,Houston,98.8,97.6,100.0,100.0,.,100.0,.,100.0
101912455,Energized For Stem Academy West H,101912,Houston ISD,101,Harris County,04,Houston,97.2,100.0,.,97.1,.,.,.,100.0
101912458,Mickey Leland College Prep Acad Fo,101912,Houston ISD,101,Harris County,04,Houston,100.0,100.0,100.0,100.0,.,.,.,100.0
101912463,Young Women's College Prep Academy,101912,Houston ISD,101,Harris County,04,Houston,100.0,100.0,100.0,100.0,.,.,.,.
101912477,North Forest H S,101912,Houston ISD,101,Harris County,04,Houston,76.9,75.6,100.0,78.7,100.0,.,.,75.0
101912486,South Early College H S,101912,Houston ISD,101,Harris County,04,Houston,94.4,92.9,.,100.0,.,.,.,.
