Campus number,Campus name,District number,District name,County,County Name,Region number,Region name ,All students graduation rate,African American %,Asian %,Hispanic %,Other %,American Indian %,Pacific Islander %,White %
015907001,Brackenridge H S,015907,San Antonio ISD,015,Bexar County,20,San Antonio,90.4,90.9,.,91.0,100.0,.,.,63.6
015907002,Burbank H S,015907,San Antonio ISD,015,Bexar County,20,San Antonio,94.7,100.0,100.0,94.6,.,.,.,100.0
015907003,Edison H S,015907,San Antonio ISD,015,Bexar County,20,San Antonio,98.1,100.0,.,98.6,.,.,.,60.0
015907004,Fox Technical H S,015907,San Antonio ISD,015,Bexar County,20,San Antonio,100.0,100.0,100.0,100.0,.,.,.,100.0
015907005,Highlands H S,015907,San Antonio ISD,015,Bexar County,20,San Antonio,82.1,78.3,100.0,82.4,50.0,0.0,.,90.0
015907006,Houston H S,015907,San Antonio ISD,015,Bexar County,20,San Antonio,80.1,84.7,100.0,76.4,50.0,.,.,75.0
015907007,Jefferson H S,015907,San Antonio ISD,015,Bexar County,20,San Antonio,89.1,90.0,100.0,89.0,.,.,.,90.0
015907008,Lanier H S,015907,San Antonio ISD,015,Bexar County,20,San Antonio,85.1,85.7,.,85.2,100.0,.,.,75.0
015907022,Travis Early College H S,015907,San Antonio ISD,015,Bexar County,20,San Antonio,99.1,100.0,.,99.1,.,.,.,100.0
015907023,Young Women's Leadership Academy,015907,San Antonio ISD,015,Bexar County,20,San Antonio,100.0,100.0,.,100.0,.,.,.,.
015907024,Cooper Academy,015907,San Antonio ISD,015,Bexar County,20,San Antonio,23.3,15.0,.,23.3,100.0,.,.,14.3
015907064,Pickett Academy,015907,San Antonio ISD,015,Bexar County,20,San Antonio,0.0,.,.,0.0,.,.,.,0.0
015907182,Healy-Murphy,015907,San Antonio ISD,015,Bexar County,20,San Antonio,25.0,14.3,.,27.5,.,.,.,0.0
015907195,Juvenile Detent Ctr,015907,San Antonio ISD,015,Bexar County,20,San Antonio,0.0,.,.,0.0,.,.,.,0.0
