Campus number,Campus name,District number,District name,County,County Name,Region number,Region name ,All students graduation rate,African American %,Asian %,Hispanic %,Other %,American Indian %,Pacific Islander %,White %
057905001,Bryan Adams H S,057905,Dallas ISD,057,Dallas County,10,Richardson,93.5,96.0,87.5,95.3,50.0,100.0,.,66.7
057905002,W H Adamson H S,057905,Dallas ISD,057,Dallas County,10,Richardson,88.3,100.0,.,87.9,.,100.0,.,100.0
057905003,A Maceo Smith New Tech H S,057905,Dallas ISD,057,Dallas County,10,Richardson,99.0,100.0,.,98.6,.,.,.,100.0
057905005,Moises E Molina H S,057905,Dallas ISD,057,Dallas County,10,Richardson,92.0,87.5,100.0,92.2,.,0.0,.,100.0
057905006,Hillcrest H S,057905,Dallas ISD,057,Dallas County,10,Richardson,92.1,91.3,83.3,93.0,.,.,.,89.3
057905007,Thomas Jefferson H S,057905,Dallas ISD,057,Dallas County,10,Richardson,78.5,92.3,.,78.2,.,.,.,50.0
057905008,Justin F Kimball H S,057905,Dallas ISD,057,Dallas County,10,Richardson,89.8,89.9,.,89.5,100.0,100.0,.,100.0
057905009,Lincoln Humanities/Communications,057905,Dallas ISD,057,Dallas County,10,Richardson,88.8,90.4,.,81.8,.,.,.,.
057905012,L G Pinkston H S,057905,Dallas ISD,057,Dallas County,10,Richardson,80.9,80.5,100.0,80.6,.,100.0,.,.
057905013,Franklin D Roosevelt H S,057905,Dallas ISD,057,Dallas County,10,Richardson,74.0,67.3,.,80.3,100.0,0.0,.,.
057905014,W W Samuell H S,057905,Dallas ISD,057,Dallas County,10,Richardson,89.1,90.2,.,88.9,100.0,.,.,80.0
057905015,Seagoville H S,057905,Dallas ISD,057,Dallas County,10,Richardson,83.8,86.4,.,84.5,100.0,100.0,.,76.9
057905016,South Oak Cliff H S,057905,Dallas ISD,057,Dallas County,10,Richardson,79.4,82.0,100.0,72.2,.,100.0,.,0.0
057905017,H Grady Spruce H S,057905,Dallas ISD,057,Dallas County,10,Richardson,77.8,81.2,.,78.1,100.0,.,.,40.0
057905018,Sunset H S,057905,Dallas ISD,057,Dallas County,10,Richardson,90.9,72.7,.,91.2,100.0,100.0,100.0,100.0
057905021,W T White H S,057905,Dallas ISD,057,Dallas County,10,Richardson,82.5,92.3,91.7,80.6,85.7,.,100.0,85.3
057905022,Woodrow Wilson H S,057905,Dallas ISD,057,Dallas County,10,Richardson,91.8,85.3,80.0,90.3,100.0,100.0,.,98.1
057905023,David W Carter H S,057905,Dallas ISD,057,Dallas County,10,Richardson,84.6,88.0,.,75.8,.,100.0,.,50.0
057905024,North Dallas H S,057905,Dallas ISD,057,Dallas County,10,Richardson,90.3,82.4,100.0,92.0,100.0,50.0,.,83.3
057905025,Skyline H S,057905,Dallas ISD,057,Dallas County,10,Richardson,86.4,85.3,80.0,86.9,75.0,100.0,75.0,81.8
057905026,School Of Science And Engineering,057905,Dallas ISD,057,Dallas County,10,Richardson,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
057905028,Emmett J Conrad H S,057905,Dallas ISD,057,Dallas County,10,Richardson,81.5,74.0,72.9,86.5,100.0,100.0,.,100.0
057905029,School Community Guidance Center,057905,Dallas ISD,057,Dallas County,10,Richardson,0.0,0.0,.,.,.,.,.,.
057905030,Maya Angelou H S,057905,Dallas ISD,057,Dallas County,10,Richardson,33.3,50.0,.,0.0,.,.,.,.
057905032,James Madison H S,057905,Dallas ISD,057,Dallas County,10,Richardson,85.5,90.7,.,75.9,.,.,.,.
057905033,School Of Business And Management,057905,Dallas ISD,057,Dallas County,10,Richardson,97.1,90.0,100.0,99.0,100.0,100.0,100.0,100.0
057905034,Booker T Washington Spva Magnet,057905,Dallas ISD,057,Dallas County,10,Richardson,97.8,100.0,100.0,100.0,88.9,100.0,.,96.2
057905035,Irma Lerma Rangel Young Women's Le,057905,Dallas ISD,057,Dallas County,10,Richardson,100.0,100.0,100.0,100.0,.,.,.,100.0
057905036,School Of Health Professions,057905,Dallas ISD,057,Dallas County,10,Richardson,100.0,100.0,100.0,100.0,.,.,100.0,100.0
057905037,Rosie Sorrells Education And Socia,057905,Dallas ISD,057,Dallas County,10,Richardson,100.0,100.0,100.0,100.0,.,.,.,100.0
057905038,Judge Barefoot Sanders Law Magnet,057905,Dallas ISD,057,Dallas County,10,Richardson,98.9,100.0,100.0,98.5,100.0,100.0,.,100.0
057905039,School For The Talented And Gifted,057905,Dallas ISD,057,Dallas County,10,Richardson,100.0,100.0,100.0,100.0,.,.,100.0,100.0
057905085,Kathlyn Joy Gilliam Collegiate Aca,057905,Dallas ISD,057,Dallas County,10,Richardson,100.0,100.0,.,100.0,.,.,.,.
057905088,Trinidad Garza Early College At Mt,057905,Dallas ISD,057,Dallas County,10,Richardson,100.0,100.0,.,100.0,.,.,.,100.0
057905090,Dr Wright L Lassiter Jr Early Coll,057905,Dallas ISD,057,Dallas County,10,Richardson,100.0,100.0,100.0,100.0,.,.,.,100.0
057905099,Hospital/Homebound,057905,Dallas ISD,057,Dallas County,10,Richardson,14.3,33.3,.,0.0,.,.,.,0.0
057905380,Wilmer-Hutchins H S,057905,Dallas ISD,057,Dallas County,10,Richardson,83.6,84.8,.,84.7,.,0.0,0.0,50.0
057905381,Barack Obama Male Leadership Aca A,057905,Dallas ISD,057,Dallas County,10,Richardson,100.0,100.0,.,100.0,.,.,.,100.0
057905389,John Leslie Patton Jr Academic Cen,057905,Dallas ISD,057,Dallas County,10,Richardson,39.5,44.9,.,35.8,.,0.0,.,0.0
