District,Cohort Year,Cohort,# Total Cohort,# Grads,Asian %,African American %,Hispanic %,Other %,American Indian %,White %,Pacific Islander %
1,2013,4 year June,1465,1043,67,53.6,47.9,83.3,33.3,85.2,n/a
2,2013,4 year June,8685,6357,87.5,67.3,67.2,87.9,52.6,82.3,n/a
3,2013,4 year June,2309,1761,94.4,70.9,67.5,92.8,61.5,89.6,n/a
4,2013,4 year June,973,820,95.8,80.7,84,100,83.3,80,n/a
5,2013,4 year June,1000,657,92.9,62.6,60.6,81.8,62.5,89.5,n/a
6,2013,4 year June,1270,781,82.1,65.5,60.8,0,0,60,n/a
7,2013,4 year June,1873,1059,84.4,56.5,55.3,75,72.7,67.7,n/a
8,2013,4 year June,1954,1022,73.5,53.5,49.4,72.7,62.1,53.9,n/a
9,2013,4 year June,2143,1416,87.5,68,65,87.5,50,36.8,n/a
10,2013,4 year June,3858,2723,95.8,69,62.9,91.3,22.6,84.2,n/a
11,2013,4 year June,2298,1552,76.1,68.4,64.6,85.7,61.5,80,n/a
12,2013,4 year June,1604,866,69.2,50.8,55.3,85.7,42.9,38.5,n/a
13,2013,4 year June,2719,2248,94.6,74,70.4,90.7,76.2,92.1,n/a
14,2013,4 year June,1607,1218,99,75.7,72.9,93.5,71.4,73.7,n/a
15,2013,4 year June,1460,963,67.5,69.4,60.3,88.6,30,72.7,n/a
16,2013,4 year June,508,254,100,49.9,56,0,0,27.3,n/a
17,2013,4 year June,1856,1305,72.3,72.7,53.4,90.9,70,51.7,n/a
18,2013,4 year June,1204,735,0,63.3,49.1,82.4,0,47.4,n/a
19,2013,4 year June,1268,775,72.7,63.1,57.1,37.5,57.1,53.8,n/a
20,2013,4 year June,3155,2204,76.8,69.5,63,0,0,71.5,n/a
21,2013,4 year June,2698,1897,75.5,69.7,61.7,91.4,75,74,n/a
22,2013,4 year June,2362,1902,87.8,76.6,69.9,71.4,50,82.6,n/a
23,2013,4 year June,601,239,0,42.5,30.6,0,0,25,n/a
24,2013,4 year June,3769,2714,85.6,45.1,70.9,87.2,62.5,76.8,n/a
25,2013,4 year June,2363,1555,79.7,59.6,56.9,95.7,52,73.8,n/a
26,2013,4 year June,3346,2863,89,78,84.6,78.6,56.7,88.4,n/a
27,2013,4 year June,2485,1689,76,61,67.1,88.6,37.5,75.1,n/a
28,2013,4 year June,3691,2905,85.9,75.6,72.9,88.9,62,81.1,n/a
29,2013,4 year June,1084,748,75.9,68.7,65.9,100,62.5,61.1,n/a
30,2013,4 year June,2423,1870,84.5,67.3,71.7,90.9,85.7,86.1,n/a
31,2013,4 year June,4631,3647,91.6,64.5,67,72.7,73.3,86.5,n/a
32,2013,4 year June,658,411,0,69.2,62.2,0,0,50,n/a
