LEA Type,AUN,LEA,School Number,School,School Type,Grads,Cohort,Cohort Grad Rate,American Indian %,Pacific Islander %,Asian %,African American %,Hispanic %,White %,Other %
SD,126515001,Philadelphia City SD,7904,Academy at Palumbo,REGSCH,198,205,96.59%,,,96.88%,97.70%,100.00%,92.11%,100.00%
SD,126515001,Philadelphia City SD,8039,Arts Academy at Benjamin Rush,REGSCH,137,142,96.48%,100.00%,,75.00%,94.29%,100.00%,100.00%,100.00%
SD,126515001,Philadelphia City SD,3847,Bartram John - Main,REGSCH,129,227,56.83%,,,66.67%,56.73%,50.00%,50.00%,66.67%
SD,126515001,Philadelphia City SD,7070,Bodine William W HS,REGSCH,103,106,97.17%,,,100.00%,100.00%,95.45%,93.75%,83.33%
SD,126515001,Philadelphia City SD,7023,Carver HS,REGSCH,176,192,91.67%,,,90.48%,91.33%,88.89%,100.00%,100.00%
SD,126515001,Philadelphia City SD,3848,Central HS,REGSCH,533,545,97.80%,100.00%,,97.48%,98.35%,92.86%,98.55%,100.00%
SD,126515001,Philadelphia City SD,7905,Constitution HS,REGSCH,87,90,96.67%,,,100.00%,95.31%,100.00%,100.00%,100.00%
SD,126515001,Philadelphia City SD,6996,Creative and Performing Arts,REGSCH,159,168,94.64%,,,100.00%,96.51%,89.47%,91.84%,100.00%
SD,126515001,Philadelphia City SD,3841,Dobbins AVT HS,COMCTC,98,182,53.85%,,,50.00%,52.63%,87.50%,,
SD,126515001,Philadelphia City SD,3849,Edison HS/Fareira Skills,COMCTC,171,296,57.77%,,,100.00%,45.31%,60.96%,,66.67%
SD,126515001,Philadelphia City SD,3816,Fels Samuel HS,REGSCH,196,272,72.06%,50.00%,100.00%,52.38%,79.44%,60.42%,46.15%,71.43%
SD,126515001,Philadelphia City SD,3850,Frankford HS,REGSCH,216,393,54.96%,,,100.00%,60.21%,49.66%,41.03%,61.54%
SD,126515001,Philadelphia City SD,3851,Franklin Benjamin HS,REGSCH,69,171,40.35%,100.00%,,36.36%,45.31%,20.00%,,33.33%
SD,126515001,Philadelphia City SD,6822,Franklin LC,REGSCH,171,188,90.96%,,,87.50%,92.13%,90.91%,88.46%,100.00%
SD,126515001,Philadelphia City SD,3818,Furness Horace HS,REGSCH,134,215,62.33%,,,76.79%,51.28%,46.34%,36.36%,100.00%
SD,126515001,Philadelphia City SD,7664,Gamp,REGSCH,48,51,94.12%,,,83.33%,100.00%,100.00%,92.59%,100.00%
SD,126515001,Philadelphia City SD,3843,Girls HS,REGSCH,203,215,94.42%,,,94.59%,94.74%,90.00%,100.00%,92.86%
SD,126515001,Philadelphia City SD,7229,Hill Freedman World Academy,REGSCH,34,41,82.93%,,,75.00%,85.29%,66.67%,,
SD,126515001,Philadelphia City SD,7852,Kensington Creative & Performing Arts HS,REGSCH,107,136,78.68%,,,100.00%,80.00%,74.03%,100.00%,
SD,126515001,Philadelphia City SD,7855,Kensington Health Sciences,REGSCH,76,100,76.00%,,,,75.00%,75.00%,100.00%,100.00%
SD,126515001,Philadelphia City SD,8388,Kensington HS,REGSCH,107,154,69.48%,,,100.00%,61.11%,74.07%,61.54%,100.00%
SD,126515001,Philadelphia City SD,6675,King Martin Luther HS,REGSCH,139,248,56.05%,,100.00%,,56.02%,33.33%,100.00%,100.00%
SD,126515001,Philadelphia City SD,7811,Lankenau HS,REGSCH,57,58,98.28%,,,,100.00%,100.00%,,
SD,126515001,Philadelphia City SD,3845,Lincoln HS,REGSCH,252,360,70.00%,,100.00%,63.16%,76.15%,63.46%,67.05%,83.33%
SD,126515001,Philadelphia City SD,3842,Mastbaum Jules E AVTS,COMCTC,109,134,81.34%,,,,85.51%,75.47%,77.78%,100.00%
SD,126515001,Philadelphia City SD,3808,Masterman Julia R Sec Sch,REGSCH,108,108,100.00%,,,100.00%,100.00%,100.00%,100.00%,100.00%
SD,126515001,Philadelphia City SD,7815,Motivation HS,REGSCH,65,71,91.55%,,,100.00%,92.54%,,100.00%,100.00%
SD,126515001,Philadelphia City SD,3855,Northeast HS,REGSCH,584,753,77.56%,100.00%,100.00%,88.17%,71.98%,71.58%,76.30%,80.95%
SD,126515001,Philadelphia City SD,3857,Overbrook HS,REGSCH,91,175,52.00%,,,,51.48%,50.00%,,75.00%
SD,126515001,Philadelphia City SD,6548,Parkway Northwest,REGSCH,60,63,95.24%,100.00%,,100.00%,95.08%,,,
SD,126515001,Philadelphia City SD,7808,Parkway West,REGSCH,46,56,82.14%,,,100.00%,82.69%,100.00%,,100.00%
SD,126515001,Philadelphia City SD,7782,Parkway-Center City,REGSCH,146,155,94.19%,100.00%,,91.67%,96.00%,80.00%,100.00%,80.00%
SD,126515001,Philadelphia City SD,7780,Paul Robeson HS for Human Services,REGSCH,73,78,93.59%,,100.00%,100.00%,92.75%,100.00%,100.00%,100.00%
SD,126515001,Philadelphia City SD,8293,Penn Treaty Sch,REGSCH,48,73,65.75%,,,,56.25%,63.64%,72.41%,66.67%
SD,126515001,Philadelphia City SD,8385,Philadelphia Learning Academy - North,REGSCH,10,37,27.03%,,,,31.03%,12.50%,,
SD,126515001,Philadelphia City SD,8386,Philadelphia Learning Academy - South,REGSCH,7,30,23.33%,,,,26.92%,,,
SD,126515001,Philadelphia City SD,7850,Philadelphia Military Acad at Elverson,REGSCH,63,67,94.03%,,,100.00%,93.62%,93.75%,100.00%,
SD,126515001,Philadelphia City SD,7813,Randolph A. Philip AVT HS,COMCTC,100,120,83.33%,,,,83.49%,87.50%,100.00%,
SD,126515001,Philadelphia City SD,3844,Roxborough HS,REGSCH,114,155,73.55%,,,100.00%,76.74%,66.67%,33.33%,66.67%
SD,126515001,Philadelphia City SD,3861,Saul W B Agricultural School,COMCTC,134,141,95.04%,,,100.00%,95.65%,94.12%,92.59%,100.00%
SD,126515001,Philadelphia City SD,7245,Sayre William L MS,REGSCH,78,151,51.66%,,,,52.08%,,,100.00%
SD,126515001,Philadelphia City SD,7903,School of the Future,REGSCH,94,112,83.93%,,,,85.00%,85.71%,60.00%,
SD,126515001,Philadelphia City SD,7906,Science Leadership Academy,REGSCH,118,130,90.77%,,100.00%,88.89%,89.13%,100.00%,90.20%,85.71%
SD,126515001,Philadelphia City SD,3859,South Philadelphia HS,REGSCH,104,193,53.89%,,,63.64%,57.80%,40.63%,31.25%,66.67%
SD,126515001,Philadelphia City SD,7255,Strawberry Mansion HS,REGSCH,65,131,49.62%,,,,49.21%,66.67%,100.00%,
SD,126515001,Philadelphia City SD,7072,Swenson Arts & Technology HS,COMCTC,131,139,94.24%,,,100.00%,91.11%,95.12%,95.12%,100.00%
SD,126515001,Philadelphia City SD,8330,The Science Leadership Academy at Beeber,REGSCH,117,127,92.13%,100.00%,,70.00%,96.30%,100.00%,85.71%,80.00%
SD,126515001,Philadelphia City SD,8298,The SD of Philadelphia Virtual Academy,REGSCH,53,148,35.81%,,,66.67%,33.00%,28.57%,50.00%,50.00%
SD,126515001,Philadelphia City SD,8328,The Workshop School,REGSCH,33,36,91.67%,,,,91.67%,,,
SD,126515001,Philadelphia City SD,6527,Washington George HS,REGSCH,249,368,67.66%,,,84.75%,58.90%,64.58%,67.86%,55.00%
SD,126515001,Philadelphia City SD,3860,West Philadelphia HS,REGSCH,75,121,61.98%,,,100.00%,62.61%,50.00%,,100.00%
SD,126515001,Philadelphia City SD,3728,Widener Memorial Sch,SPECED,1,2,50.00%,,,,,,,
,,,,,,"6,476","8,629",,,,,,,,
