LEA Type,AUN,LEA,School Number,School,School Type,Grads,Cohort,Cohort Grad Rate,American Indian %,Pacific Islander %,Asian %,African American %,Hispanic %,White %,Other %
SD,126515001,Philadelphia City SD,7904,Academy at Palumbo,REGSCH,212,229,92.58%,100.00%,,92.65%,95.10%,82.61%,92.86%,85.71%
SD,126515001,Philadelphia City SD,8039,Arts Academy at Benjamin Rush,REGSCH,145,149,97.32%,,,100.00%,90.63%,100.00%,100.00%,85.71%
SD,126515001,Philadelphia City SD,3847,Bartram John - Main,REGSCH,126,204,61.76%,,,100.00%,62.92%,36.36%,66.67%,33.33%
SD,126515001,Philadelphia City SD,7070,Bodine William W HS,REGSCH,104,114,91.23%,,,100.00%,89.09%,93.10%,100.00%,66.67%
SD,126515001,Philadelphia City SD,8332,Building 21,REGSCH,65,82,79.27%,,,,84.62%,75.00%,50.00%,50.00%
SD,126515001,Philadelphia City SD,7023,Carver HS,REGSCH,149,163,91.41%,,,91.67%,92.74%,83.33%,80.00%,100.00%
SD,126515001,Philadelphia City SD,3848,Central HS,REGSCH,548,567,96.65%,,,97.61%,94.56%,97.83%,96.15%,100.00%
SD,126515001,Philadelphia City SD,7905,Constitution HS,REGSCH,88,90,97.78%,,,100.00%,96.92%,100.00%,100.00%,100.00%
SD,126515001,Philadelphia City SD,6996,Creative and Performing Arts,REGSCH,135,153,88.24%,,,66.67%,88.99%,84.62%,86.36%,100.00%
SD,126515001,Philadelphia City SD,3841,Dobbins AVT HS,COMCTC,15,25,60.00%,,,,61.90%,33.33%,,100.00%
SD,126515001,Philadelphia City SD,3849,Edison HS/Fareira Skills,COMCTC,149,289,51.56%,,,,45.28%,53.04%,60.00%,
SD,126515001,Philadelphia City SD,3816,Fels Samuel HS,REGSCH,164,281,58.36%,100.00%,,59.09%,62.58%,50.65%,38.46%,69.23%
SD,126515001,Philadelphia City SD,3850,Frankford HS,REGSCH,183,375,48.80%,,,55.56%,47.28%,50.78%,51.22%,41.67%
SD,126515001,Philadelphia City SD,3851,Franklin Benjamin HS,REGSCH,77,153,50.33%,,,50.00%,53.60%,23.08%,42.86%,50.00%
SD,126515001,Philadelphia City SD,6822,Franklin LC,REGSCH,160,200,80.00%,,,79.31%,84.11%,72.00%,57.14%,100.00%
SD,126515001,Philadelphia City SD,3818,Furness Horace HS,REGSCH,121,180,67.22%,,,82.86%,63.89%,53.19%,52.17%,75.00%
SD,126515001,Philadelphia City SD,7664,Gamp,REGSCH,59,60,98.33%,,,100.00%,100.00%,100.00%,96.00%,
SD,126515001,Philadelphia City SD,3843,Girls HS,REGSCH,230,240,95.83%,,,96.30%,96.08%,95.24%,80.00%,100.00%
SD,126515001,Philadelphia City SD,7229,Hill Freedman World Academy,REGSCH,69,85,81.18%,,,100.00%,80.28%,75.00%,100.00%,100.00%
SD,126515001,Philadelphia City SD,7852,Kensington Creative & Performing Arts HS,REGSCH,89,128,69.53%,,,100.00%,61.90%,74.03%,50.00%,
SD,126515001,Philadelphia City SD,8388,Kensington HS,REGSCH,87,156,55.77%,,,100.00%,58.14%,56.38%,46.15%,40.00%
SD,126515001,Philadelphia City SD,7855,Kensington Health Sciences,REGSCH,70,110,63.64%,,,66.67%,58.33%,64.81%,70.59%,
SD,126515001,Philadelphia City SD,6675,King Martin Luther HS,REGSCH,78,198,39.39%,,,,40.31%,20.00%,,
